This file was created by CMPT_IND_RETS using the 202212 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth ,Other
192607,   5.43,   2.73,   1.83,   1.77,   2.13
192608,   2.76,   2.33,   2.41,   4.25,   4.35
192609,   2.16,  -0.44,   1.06,   0.69,   0.29
192610,  -3.90,  -2.42,  -2.26,  -0.57,  -2.84
192611,   3.70,   2.50,   3.07,   5.42,   2.11
192612,   3.62,   2.76,   1.03,   0.11,   3.47
192701,  -1.19,   0.15,   0.46,   5.05,   1.50
192702,   5.28,   4.00,   4.19,   1.71,   5.05
192703,   1.64,  -1.43,   3.65,   1.01,   1.22
192704,   3.52,  -1.13,   1.35,   2.74,   0.83
192705,   6.09,   5.67,   5.28,   4.12,   6.54
192706,  -1.95,  -3.03,   0.51,   0.54,  -2.15
192707,   8.69,   7.51,   7.59,   9.84,   6.04
192708,   5.23,   1.97,   2.94,   0.28,  -1.03
192709,   5.89,   4.90,   3.93,   5.65,   4.59
192710,  -3.00,  -4.70,  -4.54,   5.13,  -3.82
192711,   7.74,   7.70,   6.52,   3.68,   4.50
192712,   3.60,   2.20,   1.28,  -0.46,   1.96
192801,  -1.21,   0.18,  -0.03,   2.69,  -1.01
192802,  -1.53,  -1.11,  -0.38,  -1.38,  -2.02
192803,  13.86,   6.96,  10.32,  10.54,   6.04
192804,   0.43,   7.69,   2.70,   2.35,   4.31
192805,   3.50,   0.10,   4.36,   9.27,   0.00
192806,  -4.05,  -4.35,  -5.12,  -3.15,  -4.29
192807,   2.20,   1.03,  -0.29,   2.39,  -0.35
192808,   8.99,   6.28,   7.23,  14.57,   4.75
192809,   3.66,   4.44,   0.42,  -1.14,   1.01
192810,   1.69,   2.39,   2.38,   0.05,  -0.43
192811,   7.80,  16.03,  13.46,   5.05,   9.96
192812,  -1.01,   0.51,   3.78,  -0.41,   0.40
192901,   0.68,   6.04,  11.70,   3.43,   5.56
192902,  -1.51,   1.35,  -0.90,   0.05,   0.02
192903,  -3.62,   1.09,   4.41,  -1.50,  -2.17
192904,   1.10,   2.44,   2.48,   1.48,   0.46
192905,  -9.68,  -5.66,  -3.68,  -7.84,  -0.01
192906,   7.03,  12.44,  15.73,   4.52,   5.75
192907,   0.40,   4.56,  10.97,   2.59,   6.57
192908,   4.93,   9.73,  11.92,   3.09,   7.73
192909,  -5.75,  -3.94,  -5.10,  -7.02,  -6.40
192910, -20.43, -20.47, -22.65, -18.02, -11.76
192911, -12.13, -12.35, -14.84,  -7.90,  -9.57
192912,   0.12,   2.35,   6.10,   1.11,  -0.49
193001,   5.53,   5.04,   6.32,   2.55,   4.89
193002,   0.48,   2.23,   7.45,   3.15,   3.25
193003,   3.87,  10.15,   8.41,   5.99,   4.84
193004,  -1.72,  -1.07,  -0.84,  -1.27,  -6.44
193005,   1.86,  -2.14,  -2.40,  -1.49,  -0.96
193006, -15.68, -16.95, -14.85, -13.34, -11.70
193007,   5.40,   4.64,   2.78,   6.52,   3.44
193008,   1.56,  -0.43,   2.00,   7.71,  -0.38
193009, -11.51, -13.57, -12.35,  -8.70, -10.51
193010,  -7.46,  -9.06, -10.87,  -4.37,  -8.43
193011,   2.04,  -3.75,  -3.27,  -3.23,  -5.17
193012,  -5.83,  -7.80,  -7.09,  -6.79,  -8.80
193101,   6.47,   4.50,   4.99,   8.23,  11.89
193102,  11.35,  12.07,  13.43,   7.81,   5.47
193103,  -2.64,  -7.06,  -5.64,   1.80,  -9.40
193104,  -5.90, -12.30,  -8.48,  -3.62,  -9.89
193105, -10.64, -13.86, -10.76, -10.26, -17.39
193106,  11.01,  15.12,  13.99,   9.69,  16.22
193107,  -2.84,  -7.23,  -7.25,   2.61,  -9.86
193108,  -0.32,   1.32,   2.02,   0.39,  -3.98
193109, -28.58, -30.86, -26.78, -29.45, -26.50
193110,   9.99,   9.38,   7.02,  11.26,   1.90
193111,  -5.42,  -7.29,  -9.77,  -2.79, -19.17
193112, -10.69, -15.53, -10.06,  -4.10, -16.53
193201,  -0.41,  -2.19,  -6.74,  -2.66,   6.79
193202,   4.33,   6.96,   9.78,   2.05,  -0.28
193203, -10.33,  -9.70, -11.41,  -6.41, -15.96
193204, -15.89, -18.19, -16.23, -19.77, -22.36
193205, -22.68, -17.82, -16.06, -34.08, -30.02
193206,  -0.75,   1.25,  -5.41,  11.05,  -2.00
193207,  28.44,  35.86,  24.40,  29.18,  55.85
193208,  28.96,  37.21,  33.84,  35.87,  58.67
193209,   1.90,  -5.19,  -1.82, -11.92,  -4.15
193210, -14.57, -11.22, -11.87, -18.56, -17.99
193211,  -5.92,  -6.63,  -3.36,   5.53,  -6.90
193212,   4.21,   4.23,   4.82,   6.82,   4.88
193301,   2.25,  -0.93,   0.65,  -1.13,   8.53
193302, -14.05, -17.32, -11.55, -10.82, -16.41
193303,   9.79,   1.84,  -2.51,  -3.16,   3.77
193304,  43.67,  43.53,  25.52,  37.13,  30.80
193305,  16.46,  22.17,  18.29,  23.49,  31.54
193306,  13.98,  13.15,  10.62,  10.39,  14.50
193307,  -8.18, -12.04,  -6.94, -19.11,  -6.62
193308,  12.01,  13.05,   7.59,  -0.38,  14.59
193309,  -9.79,  -9.93,  -8.79,  -1.31, -16.39
193310,  -9.10,  -6.99,  -8.08,  -6.02, -10.91
193311,  12.06,  10.72,   8.12,   9.40,   5.35
193312,   2.04,   2.24,  -1.86, -11.73,   4.70
193401,  12.49,  11.77,   9.78,  16.77,  18.58
193402,  -2.36,  -2.99,  -1.24,  -3.59,  -1.88
193403,   1.00,  -1.36,   1.99,  -0.64,   0.82
193404,  -0.90,  -2.69,  -1.67,   8.00,  -1.60
193405,  -6.92,  -8.07,  -5.18,  -0.38,  -7.36
193406,   1.78,   3.31,   1.87,   2.04,   3.12
193407,  -8.05, -11.92,  -7.27,  -1.89, -17.37
193408,   5.90,   6.26,   4.05,  -3.05,   4.41
193409,   0.88,  -1.11,   1.07,   0.80,  -0.37
193410,   0.21,  -2.81,  -1.33,  -0.71,  -2.22
193411,  10.93,   9.14,   4.01,   4.07,   5.64
193412,   0.17,   0.37,   1.16,   0.62,  -0.19
193501,  -4.30,  -3.07,   0.21,  -0.86,  -6.72
193502,  -0.12,  -3.45,   0.68,   4.25,  -4.70
193503,  -4.85,  -2.72,  -2.18,  -3.14,  -5.34
193504,   5.90,  11.11,   9.60,   3.18,   8.75
193505,   1.88,   3.79,   5.96,  -4.02,   3.88
193506,   6.72,   5.35,   6.57,   4.09,   6.33
193507,   8.13,   7.27,   7.35,   3.19,   7.26
193508,   2.42,   2.30,   3.70,   0.29,   3.41
193509,   3.88,   1.24,   5.76,   1.11,   0.62
193510,   6.59,   9.02,   5.59,   5.97,   2.42
193511,   2.28,   3.54,   7.97,   1.74,  13.23
193512,   2.65,   6.81,   1.45,   2.35,   4.29
193601,   2.21,   9.04,   5.21,   3.46,  12.17
193602,   1.78,   2.52,   3.73,   3.45,   2.81
193603,   2.93,   2.00,  -1.91,   3.52,  -2.94
193604,  -6.79,  -9.27,  -7.00,  -9.19,  -7.41
193605,   4.97,   4.60,   5.91,   4.80,   7.40
193606,   4.56,   1.73,   1.93,   1.29,   1.75
193607,   4.32,   7.39,   6.69,   4.65,   9.64
193608,   0.76,   0.64,   2.06,  -1.48,   1.85
193609,   1.50,   1.32,  -0.40,   0.77,   0.90
193610,   5.64,   8.72,   5.39,   3.78,   8.10
193611,   3.79,   3.27,   4.63,   3.40,   0.48
193612,  -5.01,   3.43,   1.01,  -2.04,  -1.18
193701,   3.54,   3.75,   3.66,   3.47,   1.04
193702,   0.88,   1.54,  -2.20,  -3.72,   4.78
193703,  -2.47,   1.08,  -3.30,  -5.03,   2.70
193704,  -7.09,  -7.90,  -6.43,  -3.32,  -6.83
193705,  -1.87,   0.00,   1.17,   1.68,  -3.34
193706,  -5.41,  -3.49,  -0.01,  -4.12,  -8.95
193707,   8.88,   9.90,   6.32,   4.14,   8.74
193708,  -2.83,  -5.60,  -3.65,   1.09,  -8.34
193709, -11.45, -15.74,  -8.04, -10.76, -15.93
193710,  -8.94, -11.00,  -6.21,  -3.55, -10.12
193711, -10.75,  -8.70,  -4.05,  -5.12,  -6.87
193712,  -7.29,  -3.05,  -1.84,  -2.41,  -6.63
193801,   5.76,  -1.20,  -2.45,   3.52,   0.49
193802,   4.82,   8.38,   0.69,   8.61,   4.88
193803, -20.45, -24.96, -22.25, -14.44, -29.77
193804,  13.81,  14.60,  14.91,  11.82,  14.54
193805,  -2.78,  -5.60,  -0.87,   1.71,  -3.96
193806,  21.24,  27.74,  18.89,  10.07,  24.87
193807,  10.87,   6.26,   3.41,   5.80,  10.01
193808,  -0.65,  -4.32,  -0.42,   0.36,  -3.72
193809,   0.46,   1.39,   1.20,  -0.01,  -1.25
193810,   6.24,   8.37,   6.67,   5.63,  11.11
193811,  -1.58,  -1.77,  -1.81,   1.44,  -2.01
193812,   2.15,   5.22,   2.81,   0.85,   6.34
193901,  -4.28,  -7.38,  -2.69,  -0.96,  -8.66
193902,   4.76,   2.63,   3.17,   3.72,   4.69
193903, -10.42, -13.53,  -8.06,  -4.33, -14.98
193904,   0.47,  -0.70,   0.43,   1.00,  -1.81
193905,   7.58,   6.16,   6.68,   5.49,   8.04
193906,  -3.59,  -5.94,  -5.55,   1.10,  -7.64
193907,  10.02,  10.44,   9.61,   3.08,  11.57
193908,  -7.23,  -6.02,  -5.86,  -5.43,  -9.99
193909,   9.65,  23.43,   6.50,   7.07,  25.74
193910,   2.26,  -2.35,   1.31,   0.21,  -1.60
193911,  -1.70,  -5.48,  -0.57,   1.22,  -5.07
193912,   3.37,   2.90,   3.18,   3.77,   2.40
194001,  -0.71,  -3.49,  -1.85,  -1.79,  -2.68
194002,   1.67,   1.79,   0.37,   1.48,   0.88
194003,   2.65,   1.60,   1.93,   1.90,   2.63
194004,   0.58,   0.36,  -0.43,  -0.31,  -0.76
194005, -23.34, -22.45, -16.86, -21.21, -24.04
194006,   7.21,   6.22,   6.48,   4.91,   8.59
194007,   2.83,   3.47,   3.12,  -0.52,   3.39
194008,   3.61,   1.77,   1.06,  -2.29,   2.89
194009,   2.92,   1.92,   2.67,   4.61,   2.48
194010,   0.68,   4.52,   1.94,  -3.00,   5.31
194011,  -1.15,  -2.47,  -0.77,  -1.82,  -0.12
194012,  -0.77,   1.50,   1.21,  -0.23,   0.24
194101,  -4.11,  -5.44,  -2.28,  -2.19,  -1.60
194102,  -1.33,  -1.64,  -1.50,  -4.69,  -0.31
194103,   0.00,   0.96,   1.21,   1.77,   1.80
194104,  -6.40,  -4.46,  -7.32,  -5.22,  -4.44
194105,   0.03,   3.24,   0.09,  -1.45,  -0.92
194106,   5.28,   5.91,   7.22,   6.72,   4.50
194107,   4.87,   7.93,   0.48,   8.03,   7.53
194108,   1.65,  -1.52,   0.93,   0.08,   0.20
194109,   2.13,  -2.32,  -0.16,  -0.21,  -2.58
194110,  -6.86,  -4.50,  -5.66,  -3.69,  -4.13
194111,  -3.64,  -0.61,  -3.28,  -2.93,  -1.54
194112,  -7.70,  -3.35,  -5.13,  -1.59,  -5.37
194201,   3.11,  -1.53,  -0.43,  -2.99,   9.55
194202,  -1.58,  -3.32,  -1.35,  -5.35,  -1.87
194203,  -5.03,  -6.83,  -6.65,  -5.54,  -8.98
194204,  -4.60,  -4.23,  -5.81,  -4.45,  -2.02
194205,   9.84,   3.59,   7.78,  14.69,   3.54
194206,   2.73,   3.60,   0.61,   2.85,   1.99
194207,   2.90,   3.36,   3.30,   1.60,   6.58
194208,   1.51,   1.89,   1.72,   2.43,   2.42
194209,   0.97,   3.21,   3.38,   0.26,   3.38
194210,   4.03,   8.20,   6.22,   4.13,   8.91
194211,   2.63,  -1.36,   2.36,   1.58,  -2.06
194212,   5.39,   5.82,   2.88,   8.69,   4.44
194301,   7.31,   7.47,   6.50,   2.47,   7.06
194302,   4.81,   6.24,   6.30,   3.64,   9.47
194303,   5.56,   6.17,   3.70,   4.56,  10.09
194304,   1.06,  -0.23,   2.75,   1.40,   2.19
194305,   6.78,   5.38,   5.35,   5.13,   5.59
194306,   3.81,   1.28,   2.34,   0.50,  -0.80
194307,  -4.84,  -5.01,  -3.54,  -3.26,  -5.19
194308,   2.44,   0.92,   0.72,   0.26,   1.41
194309,   2.01,   2.40,   3.13,   4.02,   2.18
194310,  -1.07,  -1.07,  -1.19,   0.57,  -1.09
194311,  -4.80,  -6.79,  -3.85,  -3.93,  -7.99
194312,   6.91,   6.44,   5.27,   3.94,   7.16
194401,   2.23,   1.30,   0.75,   0.29,   4.50
194402,   1.22,  -0.03,  -0.47,  -2.64,   2.07
194403,   3.34,   2.10,   2.09,   2.46,   2.66
194404,  -1.47,  -1.72,  -1.18,  -2.36,  -2.46
194405,   6.14,   5.09,   3.19,   5.68,   4.27
194406,   6.94,   4.89,   5.14,   3.85,   5.95
194407,  -1.89,  -1.50,  -1.04,  -1.24,  -0.77
194408,   3.17,   1.07,   1.26,   0.76,   0.36
194409,   0.54,  -0.24,  -0.16,   0.43,   0.10
194410,  -0.84,   0.49,   0.78,   1.09,   0.67
194411,   1.95,   1.25,   1.11,   0.52,   4.31
194412,   2.71,   4.39,   2.54,   1.71,   8.46
194501,   1.59,   3.74,  -0.79,   0.56,   0.62
194502,   5.34,   6.97,   4.66,   4.25,   7.89
194503,  -3.66,  -4.74,  -1.93,  -1.83,  -3.53
194504,   8.49,   8.13,   5.19,   6.33,   8.81
194505,   2.73,   0.42,   2.80,   4.11,   3.11
194506,  -0.93,   0.32,   0.41,  -4.65,   4.48
194507,  -0.95,  -2.76,   0.32,  -1.62,  -5.48
194508,   8.42,   6.01,   5.48,   9.19,   2.52
194509,   4.92,   5.05,   2.63,   6.51,   6.08
194510,   4.39,   3.80,   1.57,   6.61,   5.76
194511,   4.17,   5.81,   3.05,   8.58,   9.11
194512,   2.25,   0.76,   1.52,   1.53,   0.15
194601,   7.05,   6.07,   4.14,   7.76,   7.38
194602,  -5.95,  -5.67,  -5.10,  -4.31,  -6.14
194603,   6.15,   7.17,   1.65,  14.57,   4.68
194604,   4.01,   5.55,   1.64,  14.67,   1.68
194605,   3.41,   4.41,   3.97,   5.64,   3.39
194606,  -5.49,  -3.37,  -2.48,  -5.52,  -3.25
194607,  -2.50,  -2.43,  -1.64,  -3.22,  -4.97
194608,  -6.54,  -6.23,  -6.95,  -3.24,  -6.80
194609, -10.70,  -9.55,  -7.15,  -7.03, -14.38
194610,  -1.32,  -1.13,  -4.05,  -0.24,  -0.46
194611,  -2.34,   1.28,  -0.05,   1.67,   0.01
194612,   4.44,   5.92,   4.21,   7.23,   2.74
194701,   3.08,   0.33,   3.05,  -5.32,   0.47
194702,   0.18,  -1.27,  -2.06,  -4.19,  -1.28
194703,  -2.34,  -0.67,  -2.21,  -1.26,  -3.33
194704,  -6.31,  -3.98,  -2.59,  -8.60,  -6.27
194705,  -0.93,  -0.77,  -0.72,  -2.68,  -2.07
194706,   7.26,   6.15,   0.09,   4.19,   3.19
194707,   4.79,   3.70,   3.46,   2.60,   5.99
194708,  -1.82,  -1.24,  -1.89,  -3.83,  -3.19
194709,  -0.56,  -0.59,   0.98,  -2.62,  -0.96
194710,   2.25,   3.42,   0.95,   1.22,   0.99
194711,  -2.16,  -1.74,  -1.59,  -3.04,  -1.95
194712,   1.04,   4.48,   1.44,   3.10,   3.72
194801,  -3.60,  -4.70,  -2.68,  -8.23,  -0.87
194802,  -5.29,  -4.37,  -2.45,  -3.53,  -4.11
194803,   6.29,   9.35,   6.28,   6.33,   9.94
194804,   2.31,   5.14,   1.04,   2.14,   3.25
194805,   8.67,   7.03,   7.51,   6.78,   6.76
194806,  -1.13,   0.90,  -0.51,  -2.19,  -0.75
194807,  -4.17,  -5.66,  -4.11,  -4.25,  -4.99
194808,   1.01,  -0.44,   1.51,  -1.90,   1.53
194809,  -3.10,  -3.04,  -1.67,  -3.08,  -3.44
194810,   5.05,   7.23,   3.89,   5.19,   4.96
194811,  -7.78, -10.69,  -5.64,  -5.74, -10.58
194812,   1.72,   4.09,   3.58,   4.54,   2.85
194901,   2.60,  -0.52,  -1.30,   4.57,   0.32
194902,  -2.54,  -3.18,  -2.22,  -0.93,  -3.20
194903,   3.60,   4.38,   3.50,   5.50,   4.90
194904,  -2.38,  -1.36,  -2.66,   0.24,  -1.52
194905,  -0.93,  -3.70,  -3.70,  -1.88,  -2.69
194906,   1.62,  -0.39,   0.64,   2.16,  -1.38
194907,   6.24,   5.85,   4.48,   6.00,   4.19
194908,   2.78,   3.44,   0.87,   0.19,   1.45
194909,   2.63,   3.66,   2.36,   1.86,   3.39
194910,   2.91,   3.68,   2.77,   3.38,   2.42
194911,   2.76,   1.31,   2.74,   4.81,   1.23
194912,   5.94,   4.35,   5.27,   8.70,   7.18
195001,   1.26,   1.46,   3.21,   1.06,   3.20
195002,   1.91,   1.29,   2.06,   1.92,   1.01
195003,   0.28,   1.92,   3.46,  -2.90,  -0.70
195004,   3.22,   5.21,   3.58,   5.52,   1.52
195005,   3.81,   6.18,   1.07,   3.96,   1.35
195006,  -4.80,  -6.11,  -6.17,  -4.19,  -6.79
195007,  -1.01,   2.81,  -2.09,  -6.94,   7.50
195008,   5.84,   5.25,   3.84,   3.68,   2.32
195009,   7.16,   4.20,   2.17,   6.15,   6.51
195010,   0.29,   0.22,  -0.63,  -1.76,  -1.51
195011,  -0.60,   4.65,   1.18,   4.68,   3.94
195012,   2.37,   6.84,   2.88,   6.06,  11.05
195101,   5.86,   6.02,   4.82,   3.10,   6.39
195102,   2.17,   1.41,   2.46,   1.46,  -0.42
195103,  -1.24,  -2.60,  -1.00,   1.70,  -2.84
195104,   1.66,   7.12,   2.03,  10.41,   3.75
195105,  -2.73,  -2.13,  -1.62,   1.57,  -3.27
195106,  -4.46,  -1.77,  -0.91,   0.83,  -5.12
195107,   3.06,   8.92,   4.41,  14.42,   7.40
195108,   4.43,   4.76,   4.31,  -1.38,   3.45
195109,   1.63,   0.05,   1.76,  -1.84,   3.58
195110,  -2.74,  -1.67,  -3.55,  -5.94,  -3.63
195111,   1.08,   0.19,   1.33,  -0.50,   2.10
195112,   1.50,   4.42,   3.03,   5.11,   2.13
195201,  -0.35,   2.56,  -0.91,   0.73,   3.32
195202,  -1.61,  -3.00,  -2.09,  -4.22,  -1.57
195203,   4.27,   4.88,   3.16,   0.37,   5.84
195204,  -2.79,  -6.27,  -2.17,  -5.46,  -3.39
195205,   2.96,   3.80,   2.03,   2.53,   2.94
195206,   3.76,   4.22,   3.94,  -0.97,   4.02
195207,   1.70,   1.06,   0.95,  -4.39,   1.13
195208,   1.03,  -1.42,   0.27,  -0.55,  -0.13
195209,  -1.49,  -2.44,   0.29,  -4.10,  -1.37
195210,  -0.26,  -0.54,  -0.12,  -1.47,  -1.57
195211,   5.79,   5.81,   6.49,   7.25,   7.27
195212,   3.60,   3.13,   1.86,  -1.96,   3.74
195301,   0.75,  -0.51,  -0.62,  -5.12,   1.08
195302,   0.07,  -0.31,   0.04,   2.09,  -0.23
195303,  -2.43,  -0.96,  -0.63,  -0.16,  -1.44
195304,  -1.06,  -3.60,  -0.95,  -5.35,  -3.20
195305,   0.46,   0.72,   0.72,  -0.03,   1.44
195306,  -2.16,  -1.72,  -0.82,  -3.29,  -2.05
195307,   1.75,   3.18,   1.54,   3.66,   1.43
195308,  -4.22,  -4.53,  -2.61,   0.05,  -6.80
195309,  -0.21,   0.26,   2.39,   0.43,  -0.98
195310,   3.26,   5.60,   4.13,   2.66,   3.68
195311,   1.28,   3.26,   3.51,   7.98,   2.78
195312,  -0.28,   0.57,   0.52,  -1.34,  -2.31
195401,   4.34,   5.59,   4.37,   5.65,   6.66
195402,   0.67,   1.67,   3.98,  -0.18,   1.54
195403,   1.91,   4.33,   5.25,   0.28,   1.79
195404,   2.28,   5.05,   5.65,   1.20,   2.87
195405,   3.34,   3.63,   0.42,   1.61,   4.40
195406,   1.39,   0.12,   5.30,  -2.43,   1.48
195407,   7.13,   4.95,   2.00,   8.21,   6.83
195408,  -2.31,  -2.09,  -2.97,  -2.57,  -2.26
195409,   8.26,   6.77,   5.06,   2.82,   4.33
195410,  -1.71,  -1.88,  -1.36,  -1.62,   0.57
195411,   6.04,  10.48,   8.89,  12.55,  11.16
195412,   4.98,   6.01,   2.33,   6.13,   9.39
195501,   0.76,   0.30,   2.71,  -2.88,   0.88
195502,   0.42,   3.54,   4.61,   2.85,   3.76
195503,  -0.63,   0.00,  -0.97,   6.10,   0.94
195504,   4.12,   2.88,   3.95,   0.01,   3.44
195505,   0.21,   1.40,   0.68,   3.14,   1.64
195506,   6.18,   8.77,   2.88,   0.17,   2.37
195507,   9.37,   0.61,  -0.57,   0.14,  -1.80
195508,  -1.86,   1.38,  -1.05,   0.15,   0.47
195509,   4.38,  -0.83,  -1.84,  -3.20,  -2.50
195510,  -3.18,  -2.20,  -3.48,   0.81,  -2.84
195511,   6.77,   7.48,   6.54,   6.26,   8.05
195512,  -1.82,   2.81,   3.16,   6.22,  -0.72
195601,  -4.64,  -2.49,  -2.18,  -6.50,  -2.76
195602,   3.68,   4.26,   3.37,   8.25,   3.17
195603,   2.53,   8.46,   6.42,   7.24,   5.68
195604,  -2.64,   1.52,  -0.66,   2.74,   0.50
195605,  -4.11,  -5.58,  -3.55,  -1.24,  -5.48
195606,   3.79,   3.83,   4.32,   3.58,   1.59
195607,   3.92,   6.03,   4.12,   3.10,   2.41
195608,  -0.65,  -3.77,  -2.58,  -3.07,  -3.60
195609,  -2.32,  -5.73,  -5.07,  -3.69,  -4.40
195610,  -0.29,   0.87,   1.14,   0.58,   1.10
195611,  -2.42,   1.21,   1.05,  -1.31,   0.21
195612,   0.65,   4.19,   3.58,   6.05,   2.02
195701,  -2.32,  -4.05,  -1.87,  -2.26,  -0.54
195702,  -1.42,  -2.25,  -0.20,  -0.35,  -2.57
195703,   1.13,   2.33,   3.26,   8.21,   2.31
195704,   4.12,   4.64,   4.76,   5.43,   3.15
195705,   1.28,   4.71,   3.71,   4.78,   1.36
195706,  -0.75,  -1.21,   2.10,   6.45,  -1.11
195707,   2.55,   0.62,   0.51,   2.98,   1.12
195708,  -2.53,  -5.57,  -4.13,  -2.26,  -5.41
195709,  -3.93,  -6.52,  -4.55,  -3.71,  -6.64
195710,  -3.62,  -4.45,  -1.93,  -0.45,  -6.88
195711,  -1.51,   3.21,   4.26,   7.77,   0.33
195712,  -4.19,  -4.25,  -1.31,  -0.38,  -4.36
195801,   6.58,   4.32,   4.12,  -0.05,  11.02
195802,   0.34,  -2.23,  -0.64,   4.92,  -1.78
195803,   3.49,   3.57,   1.94,   7.53,   2.51
195804,   3.74,   3.27,   1.13,   7.52,   4.55
195805,   3.80,   2.06,   1.80,   1.07,   3.74
195806,   2.53,   3.16,   2.71,   3.23,   2.88
195807,   5.12,   4.64,   2.48,   5.97,   5.31
195808,   2.07,   1.66,   2.22,   1.98,   3.07
195809,   6.91,   3.97,   5.68,  11.72,   4.64
195810,   1.91,   2.73,   3.13,   1.05,   3.64
195811,   3.54,   2.62,   3.40,   8.03,   4.70
195812,   3.55,   4.13,  13.16,   4.61,   3.05
195901,   1.92,   0.79,   0.41,  -0.62,   1.95
195902,   0.95,  -0.04,   5.01,   3.86,   1.69
195903,  -0.63,   0.74,   1.11,   4.26,  -0.72
195904,   5.60,   2.54,   6.76,  11.92,   2.07
195905,   3.87,   1.79,   2.29,  -1.07,   0.65
195906,   1.25,  -0.37,  -1.01,   6.59,   1.41
195907,   5.24,   4.07,   0.55,   4.74,   0.15
195908,   1.53,  -1.68,  -1.21,  -3.52,  -2.20
195909,  -3.45,  -5.35,  -2.82,  -4.96,  -4.11
195910,   0.84,   1.26,   3.43,   2.38,   0.17
195911,   1.02,   1.23,   4.76,   5.62,  -0.50
195912,   3.65,   2.67,   3.79,  -1.63,   2.08
196001,  -7.56,  -7.10,  -5.49,  -6.35,  -4.43
196002,   1.01,  -0.09,   6.67,   0.27,   0.01
196003,  -2.65,  -1.90,   0.95,   1.61,  -2.34
196004,  -0.41,  -2.77,  -0.14,   1.68,  -1.14
196005,   2.83,   1.62,   6.89,  13.77,   0.33
196006,   2.76,   2.92,   0.69,  -0.16,   2.85
196007,  -1.32,  -2.44,  -2.45,  -3.86,  -1.54
196008,   3.66,   2.85,   3.65,   2.46,   3.02
196009,  -5.42,  -5.07,  -7.51,  -8.71,  -5.80
196010,   0.29,   0.01,  -1.77,  -3.49,  -0.86
196011,   4.73,   4.25,   5.76,   4.04,   6.75
196012,   2.24,   4.81,   7.19,   6.22,   4.18
196101,   5.86,   7.03,   5.19,   6.05,   7.83
196102,   5.44,   3.64,   1.78,   5.19,   5.68
196103,   4.76,   1.59,   4.96,   3.80,   3.45
196104,  -0.76,   0.87,   0.63,  -0.30,   0.49
196105,   3.08,   2.98,   1.00,   2.28,   4.21
196106,  -1.07,  -2.98,  -3.65,  -3.38,  -3.91
196107,   4.14,   2.51,   3.96,   3.45,   1.26
196108,   3.58,   2.19,   2.47,   3.84,   5.30
196109,   2.00,  -3.64,  -1.18,  -1.31,  -1.79
196110,   3.72,   2.66,   1.91,   3.52,   2.27
196111,   6.88,   3.69,   5.44,   3.27,   3.91
196112,  -0.58,   0.01,   1.17,  -2.02,  -1.86
196201,  -4.95,  -2.40,  -5.49,  -4.62,  -1.37
196202,  -0.07,   2.71,   1.91,   3.76,   1.70
196203,  -0.61,  -0.22,  -1.30,   0.54,  -1.84
196204,  -5.27,  -5.60,  -8.06, -11.01,  -7.11
196205,  -8.42,  -7.89,  -9.19, -10.90,  -7.91
196206,  -8.34,  -7.20, -10.05, -12.59,  -9.17
196207,   6.33,   5.74,   9.21,   7.78,   5.71
196208,   2.88,   2.44,   2.47,  -7.92,   3.89
196209,  -4.79,  -3.92,  -7.46,  -4.05,  -5.75
196210,  -0.54,   0.37,   1.34,   2.47,   0.66
196211,   9.82,  11.09,  10.74,  17.59,  14.89
196212,   1.67,   1.67,   0.45,   0.89,   1.38
196301,   5.66,   4.74,   4.88,   5.65,   5.24
196302,  -2.45,  -1.95,  -3.08,  -2.58,  -0.35
196303,   4.41,   3.77,   2.33,   1.18,   2.87
196304,   4.51,   4.53,   5.05,   7.62,   5.88
196305,   4.60,   1.18,   1.78,  -0.25,   3.65
196306,  -1.99,  -1.12,  -3.47,  -1.09,  -1.31
196307,  -0.48,   0.23,  -0.42,   0.56,  -1.63
196308,   6.03,   5.04,   4.62,   9.56,   5.54
196309,  -0.41,  -2.05,   1.49,  -4.06,  -3.18
196310,   5.65,   0.95,   5.31,   3.38,   1.38
196311,  -3.05,  -0.43,   2.38,  -1.65,   0.23
196312,   1.01,   2.84,   1.13,   1.54,   2.81
196401,   1.35,   3.06,   3.16,   3.68,   1.24
196402,   1.95,   1.82,   0.60,   1.66,   5.50
196403,   1.88,   2.04,   0.81,  -1.94,   2.18
196404,   1.42,   0.60,  -1.00,  -1.42,   0.26
196405,   1.86,   1.67,   0.86,   0.53,   2.42
196406,   1.65,   1.09,   2.99,   0.59,   1.38
196407,   3.31,   2.70,  -1.92,   4.76,   1.34
196408,   0.65,  -1.19,  -2.04,  -4.22,  -3.14
196409,   3.74,   3.63,  -0.15,   2.73,   4.05
196410,   0.60,   1.35,  -0.94,   2.88,   1.83
196411,   0.25,   0.81,  -1.40,   2.17,  -1.80
196412,   0.91,  -0.29,   1.82,   4.38,  -1.79
196501,   4.24,   3.52,   3.17,   7.66,   4.72
196502,   0.44,   0.26,   1.39,   2.42,   2.59
196503,   0.26,  -1.58,  -1.18,  -0.93,  -0.26
196504,   6.19,   2.38,   3.53,   2.98,   2.17
